OBJECTID,LEA_GUID,LEA_OFFICIAL,CSO_LEA,LEA_ID,COUNTY,Shape__Area,Shape__Length
1,2ae19629-3f08-13a3-e055-000000000001,Y,ADARE-RATHKEALE,13120401,LIMERICK,757526184.627777,198286.113368129
2,2ae19629-3f12-13a3-e055-000000000001,Y,ARDEE,13140402,LOUTH,379552109.313416,134512.532973371
3,2ae19629-3ef6-13a3-e055-000000000001,Y,ARKLOW,13250404,WICKLOW,485827390.229004,149488.659719994
4,2ae19629-3ef4-13a3-e055-000005200001,Y,ARTANE-WHITEHALL,13260429,DUBLIN,12640087.3113403,19185.9023950209
5,220a3c1c-5611-4729-9f86-37b2fb10bd19,N,ASHBOURNE,13160402,MEATH,301635862.722168,187674.595299585
6,2ae19629-3f4c-13a3-e055-000000000001,Y,ATHENRY-ORANMORE,1360404,GALWAY,514940693.48703,165161.530195949
7,2ae19629-3f72-13a3-e055-000000000001,Y,ATHY,1380403,KILDARE,464313072.619568,139711.142753993
8,2ae19629-3f2a-13a3-e055-000000000001,Y,BAILIEBOROUGH-COOTEHILL,1320401,CAVAN,646035573.404968,183847.695613714
9,2ae19629-3ef4-13a3-e055-997440000001,Y,BALBRIGGAN,13260417,DUBLIN,56718845.2270508,50207.3172193134
10,2ae19629-3f14-13a3-e055-000000000001,Y,BALLINA,13150400,MAYO,883803483.250397,242587.610780244
11,2ae19629-3f05-13a3-e055-000000000001,Y,BALLINAMORE,13110401,LEITRIM,545885500.981506,167668.949636856
12,2ae19629-3f4a-13a3-e055-000000000001,Y,BALLINASLOE,1360402,GALWAY,1194778844.91956,283974.846687143
13,2ae19629-3f20-13a3-e055-000000000001,Y,BALLYBAY-CLONES,13170402,MONAGHAN,542251933.315613,210857.046595287
14,2ae19629-3f58-13a3-e055-000000000001,Y,BALLYFERMOT-DRIMNAGH,13260422,DUBLIN,11027336.7409058,19981.4079631143
15,2ae19629-3f2b-13a3-e055-000000000001,Y,BALLYJAMESDUFF,1320402,CAVAN,605514316.596191,207766.714612188
16,2ae19629-3f0e-13a3-e055-000000000001,Y,BALLYMAHON,13130401,LONGFORD,506293266.439697,135155.83607619
17,2ae19629-3f27-13a3-e055-000000000001,Y,BALLYMOTE-TOBERCURRY,13200400,SLIGO,1410256710.01154,319096.316938085
18,2ae19629-3f56-13a3-e055-000000000001,Y,BALLYMUN-FINGLAS,13260420,DUBLIN,10992513.2223816,16991.7325001035
19,2ae19629-3f3d-13a3-e055-000000000001,Y,BALTINGLASS,13250400,WICKLOW,916221041.718872,252575.309558188
20,2ae19629-3f68-13a3-e055-000000000001,Y,BANDON-KINSALE,1340405,CORK,646341560.125214,292589.255386846
21,2ae19629-3f41-13a3-e055-000000000001,Y,BANTRY-WEST CORK,1340406,CORK,1239465591.70406,1006445.62260234
22,2ae19629-3f17-13a3-e055-000000000001,Y,BELMULLET,13150403,MAYO,1460277290.01251,944145.389059796
23,2ae19629-3f21-13a3-e055-000000000001,Y,BIRR,13180400,OFFALY,1009479343.14688,229900.917126653
24,e97b193e-2389-4b62-8e77-25ed84bbbc15,N,BLACKROCK,13260410,DUBLIN,8956266.25775146,18867.7625125541
25,e5d7e4fc-3093-4c47-8c53-004e059643f7,N,BLANCHARDSTOWN-MULHUDDART,13260402,DUBLIN,57099018.1572571,47489.9012675887
26,2ae19629-3eff-13a3-e055-000000000001,Y,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,LAOIS,907577813.137665,219158.883453074
27,2ae19629-3f24-13a3-e055-000000000001,Y,BOYLE,13190400,ROSCOMMON,1005595216.00385,270800.599552304
28,2ae19629-3ef4-13a3-e055-999220000001,Y,BRAY EAST,13250405,WICKLOW,4619049.17822266,14219.7860321656
29,2ae19629-3f3e-13a3-e055-000000000001,Y,BRAY WEST,13250401,WICKLOW,119309122.893799,61348.5200369796
30,2ae19629-3f46-13a3-e055-000000000001,Y,BUNCRANA,1350403,DONEGAL,414182595.338745,168799.262496331
31,e19bef46-260c-495d-89f0-3898e2708721,N,CABRA-GLASNEVIN,13260421,DUBLIN,17980534.3618164,21641.060003726
32,2ae19629-3ef4-13a3-e055-000005400001,Y,CAHIR,13210407,TIPPERARY,540336932.843414,140813.052352457
33,2ae19629-3f77-13a3-e055-000000000001,Y,CALLAN-THOMASTOWN,1390403,KILKENNY,771507794.380768,189011.296544587
34,2ae19629-3f09-13a3-e055-000000000001,Y,CAPPAMORE-KILMALLOCK,13120402,LIMERICK,1035013604.30652,266434.612900601
35,2ae19629-3f02-13a3-e055-000000000001,Y,CARLOW,1310400,CARLOW,62424599.5321655,58853.7591928551
36,2ae19629-3f45-13a3-e055-000000000001,Y,CARNDONAGH,1350402,DONEGAL,474218172.923828,249558.887742573
37,2ae19629-3f06-13a3-e055-000000000001,Y,CARRICK-ON-SHANNON,13110402,LEITRIM,285933830.981232,126608.610770837
38,2ae19629-3f2e-13a3-e055-000000000001,Y,CARRICK-ON-SUIR,13210402,TIPPERARY,582144539.689697,183926.363414913
39,2ae19629-3f1f-13a3-e055-000000000001,Y,CARRICKMACROSS-CASTLEBLAYNEY,13170401,MONAGHAN,347023888.049133,141053.284031227
40,2ae19629-3f66-13a3-e055-000000000001,Y,CARRIGALINE,1340403,CORK,182025615.881531,171147.064777574
41,2ae19629-3f30-13a3-e055-000000000001,Y,CASHEL-TIPPERARY,13210404,TIPPERARY,776925523.836243,197868.27781673
42,2ae19629-3f16-13a3-e055-000000000001,Y,CASTLEBAR,13150402,MAYO,950003106.33493,215316.075953595
43,2ae19629-3f74-13a3-e055-000000000001,Y,CASTLECOMER,1390400,KILKENNY,792752344.101654,234611.369334423
44,2ae19629-3f6c-13a3-e055-000000000001,Y,CASTLEISLAND,1370401,KERRY,680503135.279388,158661.780499028
45,3a625b75-d7a9-467e-be55-18381818d65b,N,CASTLEKNOCK,13260403,DUBLIN,23206840.4196472,31584.4469344857
46,2ae19629-3f29-13a3-e055-000000000001,Y,CAVAN-BELTURBET,1320400,CAVAN,679677263.544708,238232.686621122
47,91bb1ace-9216-4f70-ac9a-a3e18397a8d6,N,CELBRIDGE,1380401,KILDARE,41926040.3371277,44495.3088875884
48,2ae19629-3ef4-13a3-e055-999880000001,Y,CLANE,1380405,KILDARE,378107171.042664,111122.272225568
49,2ae19629-3f15-13a3-e055-000000000001,Y,CLAREMORRIS,13150401,MAYO,844778062.476501,193146.546102103
50,a4a6a231-170f-4ff3-be09-6d68f119c5b3,N,CLONDALKIN,13260416,DUBLIN,77866381.9797974,54873.1551351363
51,2ae19629-3f2f-13a3-e055-000000000001,Y,CLONMEL,13210403,TIPPERARY,250247653.253357,103034.819963703
52,2ae19629-3f5d-13a3-e055-000000000001,Y,CLONTARF,13260427,DUBLIN,14942167.4900818,27871.6873552873
53,2ae19629-3f67-13a3-e055-000000000001,Y,COBH,1340404,CORK,296653128.962067,140262.212028033
