lea,candidate,gender,vote_share,party
CARLOW,"Aylesbury, Molly",F,0.03005635566687539,GRN
CARLOW,"* BROWNE, FERGAL",M,0.11183469004383219,FG
CARLOW,"Callinan, Mark",M,0.04358171571696932,SF
CARLOW,"* CASSIN, JOHN",M,0.07388854101440201,INDI
CARLOW,"Chiorean, Nicoleta",F,0.029805886036318098,SF
CARLOW,"* DALTON, ANDREA",F,0.14389480275516595,FF
CARLOW,"Donohoe, Orla",F,0.016530995616781466,IFP
CARLOW,"DOOGUE, PAUL",M,0.053224796493425174,FG
CARLOW,"Doyle, Ruairí",M,0.019536631183469006,SF
CARLOW,"* MURNANE, KEN",M,0.07038196618659988,FF
CARLOW,"Murphy, Daeln",M,0.01966186599874765,TNP
CARLOW,"* O'Neill, Tom",M,0.04984345648090169,FG
CARLOW,"O'Rock, Jolly",F,0.022041327489041952,NON-P
CARLOW,"* PHELAN, FINTAN",M,0.21014402003757043,FF
CARLOW,"Ryan, Maria",F,0.017658108954289292,IF
CARLOW,"Temiola, Adetula",M,0.014151534126487163,NON-P
CARLOW,"* WALLACE, ADRIENNE",F,0.05234815278647464,PBP
CARLOW,"Woods, Rory",M,0.021415153412648717,TIP
MUINEBHEAG,"* DORAN, MICHAEL",M,0.1329479768786127,FG
MUINEBHEAG,"Gladney, Áine",F,0.02960665444804737,SF
MUINEBHEAG,"* GLADNEY, ANDY",M,0.14352178203862964,SF
MUINEBHEAG,"* KINSELLA, THOMAS",M,0.2441844071619907,FG
MUINEBHEAG,"* McDonald, Arthur",M,0.11546595234738474,FF
MUINEBHEAG,"O'Brien, Liam",M,0.04159030029606654,GRN
MUINEBHEAG,"PENDER, DANIEL",M,0.1390102918370224,FF
MUINEBHEAG,"* QUINN, WILLIE",M,0.15367263499224587,LAB
TULLOW,"Cahill, John",M,0.022829293317942798,PBP
TULLOW,"Callaghan [Nee Roberts], Catherine",F,0.07874823650121841,FG
TULLOW,"DEANE, JIM",M,0.05373861741695524,SF
TULLOW,"Fennelly Nolan, Patricia",F,0.023727074515839424,NON-P
TULLOW,"Gahan, Ken",M,0.027959471591637808,SF
TULLOW,"* McDonald, John",M,0.04642811337693985,FF
TULLOW,"McDonnell, Annette",F,0.03257663203796332,NON-P
TULLOW,"* MURPHY, CHARLIE",M,0.1649352314992946,NON-P
TULLOW,"Murphy, Daeln",M,0.01872515069898679,TNP
TULLOW,"Nolan, Billy",M,0.041426189560087215,NON-P
TULLOW,"* O'DONOGHUE, BRIAN",M,0.08092856226753879,FG
TULLOW,"* PATON, WILL",M,0.13043478260869565,NON-P
TULLOW,"* PENDER, JOHN",M,0.17121969988457098,FF
TULLOW,"Thompson, Phil",F,0.01603180710529691,SF
TULLOW,"WARD, BEN",M,0.0902911376170322,FG
BAILIEBOROUGH-COOTEHILL,"* BRADY, CARMEL",F,0.1402632017324671,FG
BAILIEBOROUGH-COOTEHILL,"CONATY, STIOFÁN",M,0.08920539730134933,SF
BAILIEBOROUGH-COOTEHILL,"Cosgrove, Garry",M,0.05039147093120107,NON-P
BAILIEBOROUGH-COOTEHILL,"* Fitzpatrick, Aiden",M,0.09803431617524572,FF
