CSO_LEA,Cities,Satellite urban towns,Independent urban towns,Rural areas with high urban influence,Rural areas with moderate urban influence,Highly rural/remote areas
ADARE-RATHKEALE,0.0,0.0,0.0,18891.0,7542.0,2415.0
ARDEE,0.0,0.0,7572.0,11726.0,7380.0,210.0
ARKLOW,0.0,2252.0,13316.0,8054.0,3603.0,374.0
ARTANE-WHITEHALL,51630.0,0.0,0.0,0.0,0.0,0.0
ASHBOURNE,0.0,18964.0,404.0,13098.0,706.0,0.0
ATHENRY-ORANMORE,1126.0,10276.0,0.0,23266.0,165.0,0.0
ATHLONE,0.0,0.0,22664.0,10860.0,10552.0,903.0
ATHY,0.0,0.0,12666.0,10372.0,4993.0,454.0
BAILIEBOROUGH-COOTEHILL,0.0,0.0,7751.0,2899.0,8491.0,6909.0
BALBRIGGAN,0.0,37085.0,0.0,2896.0,225.0,0.0
BALLINA,0.0,0.0,10500.0,1225.0,7700.0,6177.0
BALLINAMORE,0.0,0.0,0.0,0.0,1632.0,9051.0
BALLINASLOE,0.0,0.0,6526.0,6884.0,10839.0,5387.0
BALLYBAY-CLONES,0.0,0.0,1868.0,890.0,7472.0,8058.0
BALLYFERMOT-DRIMNAGH,48280.0,0.0,0.0,0.0,0.0,0.0
BALLYJAMESDUFF,0.0,0.0,7705.0,3600.0,7779.0,8632.0
BALLYMAHON,0.0,0.0,4832.0,3039.0,7088.0,2809.0
BALLYMOTE-TOBERCURRY,0.0,0.0,3989.0,1466.0,7342.0,15379.0
BALLYMUN-FINGLAS,56021.0,0.0,0.0,0.0,0.0,0.0
BALTINGLASS,0.0,5088.0,2580.0,10589.0,6543.0,2992.0
BANDON-KINSALE,0.0,13856.0,0.0,19848.0,5145.0,864.0
BANTRY-WEST CORK,0.0,0.0,2858.0,457.0,3986.0,16120.0
BELMULLET,0.0,0.0,0.0,0.0,552.0,11835.0
BIRR,0.0,0.0,6547.0,3686.0,10166.0,6395.0
BLACKROCK,33642.0,0.0,0.0,0.0,0.0,0.0
BLANCHARDSTOWN-MULHUDDART,38099.0,0.0,0.0,1621.0,0.0,0.0
BORRIS-IN-OSSORY-MOUNTMELLICK,0.0,0.0,6955.0,5813.0,9524.0,4012.0
BOYLE,0.0,0.0,6070.0,607.0,6422.0,11048.0
BRAY EAST,0.0,17520.0,0.0,0.0,0.0,0.0
BRAY WEST,0.0,14572.0,0.0,4196.0,0.0,0.0
BUNCRANA,0.0,0.0,6897.0,6145.0,6775.0,2536.0
CABRA-GLASNEVIN,62396.0,0.0,0.0,0.0,0.0,0.0
CAHIR,0.0,0.0,3635.0,1520.0,7434.0,2652.0
CALLAN-THOMASTOWN,0.0,0.0,6505.0,7579.0,10454.0,1994.0
CAPPAMORE-KILMALLOCK,0.0,1564.0,1755.0,22690.0,7992.0,2281.0
CARLOW,0.0,0.0,22211.0,1511.0,752.0,384.0
CARNDONAGH,0.0,0.0,2744.0,273.0,4594.0,9823.0
CARRICK-ON-SHANNON,0.0,0.0,3884.0,453.0,4566.0,3587.0
CARRICK-ON-SUIR,0.0,0.0,7420.0,2309.0,4720.0,5570.0
CARRICKMACROSS-CASTLEBLAYNEY,0.0,0.0,9581.0,4823.0,7063.0,1837.0
CARRIGALINE,938.0,27294.0,0.0,10076.0,478.0,0.0
CASHEL-TIPPERARY,0.0,0.0,10107.0,6040.0,9081.0,3693.0
CASTLEBAR,0.0,0.0,12907.0,5949.0,8499.0,4341.0
CASTLECOMER,0.0,0.0,0.0,8610.0,12964.0,3134.0
CASTLEISLAND,0.0,0.0,2510.0,3642.0,8148.0,3310.0
CASTLEKNOCK,46284.0,0.0,0.0,447.0,0.0,0.0
CAVAN-BELTURBET,0.0,0.0,13254.0,400.0,4457.0,9094.0
CELBRIDGE,0.0,20763.0,0.0,1743.0,0.0,0.0
CLANE,0.0,10499.0,3510.0,15090.0,1889.0,0.0
CLAREMORRIS,0.0,0.0,9628.0,2860.0,9666.0,6795.0
CLONDALKIN,34791.0,14161.0,0.0,2829.0,0.0,0.0
CLONMEL,0.0,0.0,17504.0,2800.0,3780.0,745.0
CLONTARF,56398.0,0.0,0.0,0.0,0.0,0.0
COBH,4701.0,21374.0,0.0,10778.0,0.0,0.0
CONAMARA NORTH,0.0,1819.0,0.0,3112.0,1476.0,11127.0
CONAMARA SOUTH,365.0,4571.0,0.0,7853.0,4153.0,6030.0
CORCA DHUIBHNE,0.0,0.0,1406.0,1092.0,4155.0,7770.0
CORK CITY NORTH EAST,43442.0,0.0,0.0,282.0,0.0,0.0
CORK CITY NORTH WEST,34615.0,6049.0,0.0,1402.0,0.0,0.0
CORK CITY SOUTH CENTRAL,39873.0,0.0,0.0,0.0,0.0,0.0
CORK CITY SOUTH EAST,44992.0,0.0,0.0,0.0,0.0,0.0
CORK CITY SOUTH WEST,50283.0,0.0,0.0,0.0,0.0,0.0
