GEOGID,COUNTY,GEOGDESC,urban_index,Age 5 - Males
13120401,LIMERICK,ADARE-RATHKEALE,0.31422628951747095,206
13140402,LOUTH,ARDEE,0.3983040761678072,163
13250404,WICKLOW,ARKLOW,0.49760498568788725,171
13260429,DUBLIN,ARTANE-WHITEHALL,1.0,240
13160402,MEATH,ASHBOURNE,0.6268539732304355,282
1360404,GALWAY,ATHENRY-ORANMORE,0.536451066517383,271
13190402,ROSCOMMON,ATHLONE,0.4458258298316993,136
13230400,WESTMEATH,ATHLONE,0.4458258298316993,180
1380403,KILDARE,ATHY,0.4474986835176409,199
1320401,CAVAN,BAILIEBOROUGH-COOTEHILL,0.2882303262955854,193
13260417,DUBLIN,BALBRIGGAN,0.7678306720389992,320
13150400,MAYO,BALLINA,0.3253652058432935,161
13110401,LEITRIM,BALLINAMORE,0.030553215388935694,63
1360402,GALWAY,BALLINASLOE,0.298184640302335,201
13170402,MONAGHAN,BALLYBAY-CLONES,0.16246719160104986,120
13260422,DUBLIN,BALLYFERMOT-DRIMNAGH,1.0,259
1320402,CAVAN,BALLYJAMESDUFF,0.2748881512483764,193
13130401,LONGFORD,BALLYMAHON,0.31136875281404774,121
13200400,SLIGO,BALLYMOTE-TOBERCURRY,0.1578719477569563,201
13260420,DUBLIN,BALLYMUN-FINGLAS,1.0,295
13250400,WICKLOW,BALTINGLASS,0.40164795624640187,203
1340405,CORK,BANDON-KINSALE,0.504948001913731,294
1340406,CORK,BANTRY-WEST CORK,0.11505913496434825,150
13150403,MAYO,BELMULLET,0.00891256962945023,59
13180400,OFFALY,BIRR,0.27751735463163396,184
13260410,DUBLIN,BLACKROCK,1.0,194
13260402,DUBLIN,BLANCHARDSTOWN-MULHUDDART,0.9755135951661632,309
13100400,LAOIS,BORRIS-IN-OSSORY-MOUNTMELLICK,0.31945711678832117,172
13190400,ROSCOMMON,BOYLE,0.21407214146684891,168
13250405,WICKLOW,BRAY EAST,0.8,83
13250401,WICKLOW,BRAY WEST,0.7105711849957375,105
1350403,DONEGAL,BUNCRANA,0.35571064286672927,153
13260421,DUBLIN,CABRA-GLASNEVIN,1.0,269
13210407,TIPPERARY,CAHIR,0.2805458959385867,96
1390403,KILKENNY,CALLAN-THOMASTOWN,0.3401703603196141,191
13120402,LIMERICK,CAPPAMORE-KILMALLOCK,0.3577145692078717,226
1310400,CARLOW,CARLOW,0.5664735698769008,150
1350402,DONEGAL,CARNDONAGH,0.1534013995640702,126
13110402,LEITRIM,CARRICK-ON-SHANNON,0.27420336269015216,93
13210402,TIPPERARY,CARRICK-ON-SUIR,0.3156801039012938,122
13170401,MONAGHAN,CARRICKMACROSS-CASTLEBLAYNEY,0.39007895640233436,154
1340403,CORK,CARRIGALINE,0.6935285927912134,272
13210404,TIPPERARY,CASHEL-TIPPERARY,0.3560181183223264,177
13150402,MAYO,CASTLEBAR,0.3730312973245835,219
1390400,KILKENNY,CASTLECOMER,0.2443257244617128,147
1370401,KERRY,CASTLEISLAND,0.26078364565587736,88
13260403,DUBLIN,CASTLEKNOCK,0.9942607690826218,320
1320400,CAVAN,CAVAN-BELTURBET,0.3309612203639037,213
1380401,KILDARE,CELBRIDGE,0.7690215942415357,167
1380405,KILDARE,CLANE,0.5459855427907577,218
13150401,MAYO,CLAREMORRIS,0.30584821582783517,200
13260416,DUBLIN,CLONDALKIN,0.9125238987273324,422
13210403,TIPPERARY,CLONMEL,0.49854605501631155,158
13260427,DUBLIN,CLONTARF,1.0,336
1340404,CORK,COBH,0.7085284780072179,254
1360400,GALWAY,CONAMARA NORTH,0.17082240219003078,107
1360406,GALWAY,CONAMARA SOUTH,0.34797144349643044,145
1370404,KERRY,CORCA DHUIBHNE,0.14639118075296403,106
1340411,CORK,CORK CITY NORTH EAST,0.9961302717043272,222
1340410,CORK,CORK CITY NORTH WEST,0.9512432843626681,224
1340413,CORK,CORK CITY SOUTH CENTRAL,1.0,183
1340412,CORK,CORK CITY SOUTH EAST,1.0,253
1340414,CORK,CORK CITY SOUTH WEST,1.0,294
13260428,DUBLIN,DONAGHMEDE,1.0,273
1350404,DONEGAL,DONEGAL,0.2194852268150697,176
13140403,LOUTH,DROGHEDA RURAL,0.5293111302323227,128
13140404,LOUTH,DROGHEDA URBAN,0.6,167
13140401,LOUTH,DUNDALK SOUTH,0.5460564906069173,284
13140400,LOUTH,DUNDALK-CARLINGFORD,0.44104847452377266,155
13260406,DUBLIN,DUNDRUM,1.0,202
13220400,WATERFORD,DUNGARVAN,0.40009055510278,138
13260409,DUBLIN,DÚN LAOGHAIRE,1.0,282
13180402,OFFALY,EDENDERRY,0.43044883303411136,155
1330403,CLARE,ENNIS,0.5570840787119857,211
13240405,WEXFORD,ENNISCORTHY,0.4013079994492634,172
1330400,CLARE,ENNISTIMON,0.0947673098751419,110
1340401,CORK,FERMOY,0.40998267256316756,243
13260414,DUBLIN,FIRHOUSE-BOHERNABREENA,0.9766538214515093,310
1360421,GALWAY,GALWAY CITY CENTRAL,1.0,107
1360422,GALWAY,GALWAY CITY EAST,1.0,163
1360420,GALWAY,GALWAY CITY WEST,1.0,167
13260407,DUBLIN,GLENCULLEN-SANDYFORD,0.9830737105867614,344
1350400,DONEGAL,GLENTIES,0.004748976862919891,131
13240400,WEXFORD,GOREY,0.4514934791754312,198
1360405,GALWAY,GORT-KINVARA,0.4147799720105738,201
13100402,LAOIS,GRAIGUECULLEN-PORTARLINGTON,0.4252186969578274,215
13130400,LONGFORD,GRANARD,0.12639944109684745,84
13250402,WICKLOW,GREYSTONES,0.7570683064650159,255
13260404,DUBLIN,HOWTH-MALAHIDE,0.8446097950879233,494
1340400,CORK,KANTURK,0.3125615204058454,170
13160400,MEATH,KELLS,0.38443382481496596,238
1370403,KERRY,KENMARE,0.16788862406839933,159
1380404,KILDARE,KILDARE,0.5156753470463066,209
1390401,KILKENNY,KILKENNY,0.5760142788494542,195
1330401,CLARE,KILLALOE,0.30597021806279107,136
1370402,KERRY,KILLARNEY,0.4121608917539619,190
